feature,importance
CREDIT_DURATION,338
EXT_SOURCE_1,192
EXT_SOURCE_3,176
EXT_SOURCE_2,173
DAYS_BIRTH,156
AMT_ANNUITY,104
AMT_GOODS_PRICE,101
DAYS_ID_PUBLISH,98
DAYS_EMPLOYED,95
AGE_EMPLOYED_RATIO,86
AMT_CREDIT,77
AGE_CREDIT_DURATION_RATIO,74
DAYS_LAST_PHONE_CHANGE,64
DAYS_REGISTRATION,57
AMT_INCOME_TOTAL,52
REGION_POPULATION_RELATIVE,49
SK_ID_CURR,47
NAME_CONTRACT_TYPE,43
OWN_CAR_AGE,34
NAME_EDUCATION_TYPE_Higher_education,33
CODE_GENDER_F,33
HOUR_APPR_PROCESS_START,29
FLAG_OWN_CAR,26
NAME_FAMILY_STATUS_Married,24
AMT_REQ_CREDIT_BUREAU_YEAR,24
TOTALAREA_MODE,21
FLAG_DOCUMENT_3,20
AMT_REQ_CREDIT_BUREAU_QRT,20
EXT_SOURCE_1_na,19
DEF_30_CNT_SOCIAL_CIRCLE,18
REGION_RATING_CLIENT_W_CITY,17
APARTMENTS_MODE,15
FLAG_WORK_PHONE,14
YEARS_BEGINEXPLUATATION_MEDI,14
DEF_60_CNT_SOCIAL_CIRCLE,14
LIVINGAREA_AVG,14
REG_CITY_NOT_LIVE_CITY,14
NONLIVINGAREA_MODE,13
YEARS_BEGINEXPLUATATION_MODE,13
OBS_60_CNT_SOCIAL_CIRCLE,13
OBS_30_CNT_SOCIAL_CIRCLE,13
NAME_EDUCATION_TYPE_Secondary_secondary_special,13
COMMONAREA_AVG,12
NONLIVINGAREA_AVG,12
LIVINGAREA_MODE,12
APARTMENTS_AVG,12
NONLIVINGAPARTMENTS_AVG,11
CODE_GENDER_M,11
COMMONAREA_MODE,11
AMT_REQ_CREDIT_BUREAU_WEEK_na,11
ORGANIZATION_TYPE_Industry_type_9,10
YEARS_BUILD_MODE,10
BASEMENTAREA_AVG,10
FLOORSMIN_AVG,10
FLOORSMAX_AVG,10
YEARS_BEGINEXPLUATATION_AVG,9
NONLIVINGAREA_MEDI,9
OCCUPATION_TYPE_Core_staff,9
LANDAREA_MEDI,8
ENTRANCES_AVG,8
LANDAREA_AVG,8
YEARS_BUILD_AVG,8
ORGANIZATION_TYPE_Military,7
FLAG_DOCUMENT_18,7
NAME_INCOME_TYPE_State_servant,7
ORGANIZATION_TYPE_Construction,7
LANDAREA_MODE,7
OCCUPATION_TYPE_Drivers,7
APARTMENTS_MEDI,7
ORGANIZATION_TYPE_Transport_type_3,7
REGION_RATING_CLIENT,6
NONLIVINGAPARTMENTS_MODE,6
BASEMENTAREA_MEDI,6
ORGANIZATION_TYPE_Self_employed,6
COMMONAREA_MEDI,6
FLAG_DOCUMENT_16,6
NAME_FAMILY_STATUS_Single_not_married,6
BASEMENTAREA_MODE,6
LIVINGAREA_MEDI,6
AMT_REQ_CREDIT_BUREAU_MON,6
NAME_INCOME_TYPE_Working,5
NAME_HOUSING_TYPE_Office_apartment,5
ELEVATORS_AVG,5
LIVINGAPARTMENTS_MODE,5
OCCUPATION_TYPE_Accountants,5
WALLSMATERIAL_MODE_Panel,4
ORGANIZATION_TYPE_Police,4
ORGANIZATION_TYPE_School,4
LIVINGAPARTMENTS_AVG,4
CNT_FAM_MEMBERS,4
WALLSMATERIAL_MODE_Stone_brick,4
ORGANIZATION_TYPE_Realtor,4
ORGANIZATION_TYPE_Trade_type_2,4
OCCUPATION_TYPE_Medicine_staff,4
WEEKDAY_APPR_PROCESS_START_MONDAY,4
FLOORSMAX_MEDI,4
ORGANIZATION_TYPE_Industry_type_12,4
LIVINGAPARTMENTS_MEDI,4
NONLIVINGAPARTMENTS_MEDI,4
FLOORSMIN_MODE,4
ORGANIZATION_TYPE_Bank,4
ORGANIZATION_TYPE_Government,4
FLOORSMIN_MEDI,4
NAME_HOUSING_TYPE_House_apartment,4
NAME_TYPE_SUITE_Children,4
NAME_HOUSING_TYPE_With_parents,4
CNT_CHILDREN,3
NAME_EDUCATION_TYPE_Lower_secondary,3
OCCUPATION_TYPE_Low_skill_Laborers,3
OCCUPATION_TYPE_Laborers,3
NAME_HOUSING_TYPE_Municipal_apartment,3
NAME_FAMILY_STATUS_Civil_marriage,3
FLAG_DOCUMENT_14,3
FLAG_DOCUMENT_13,3
ENTRANCES_MEDI,3
ELEVATORS_MODE,3
ORGANIZATION_TYPE_Security_Ministries,3
FLAG_PHONE,3
ENTRANCES_MODE,3
FLOORSMAX_MODE,3
WEEKDAY_APPR_PROCESS_START_SUNDAY,3
ORGANIZATION_TYPE_Business_Entity_Type_3,3
