feature,importance
EXT_SOURCE_1,244
EXT_SOURCE_3,209
DAYS_BIRTH,177
EXT_SOURCE_2,176
AMT_CREDIT,168
AMT_ANNUITY,152
DAYS_ID_PUBLISH,135
AMT_GOODS_PRICE,131
DAYS_EMPLOYED,129
DAYS_REGISTRATION,88
DAYS_LAST_PHONE_CHANGE,81
AMT_INCOME_TOTAL,62
SK_ID_CURR,60
REGION_POPULATION_RELATIVE,52
OWN_CAR_AGE,41
CODE_GENDER_F,36
TOTALAREA_MODE,33
NAME_EDUCATION_TYPE_Higher_education,30
FLAG_OWN_CAR,30
NAME_CONTRACT_TYPE,28
AMT_REQ_CREDIT_BUREAU_YEAR,28
AMT_REQ_CREDIT_BUREAU_QRT,26
NAME_FAMILY_STATUS_Married,25
DEF_30_CNT_SOCIAL_CIRCLE,24
HOUR_APPR_PROCESS_START,24
FLAG_DOCUMENT_3,21
LIVINGAREA_AVG,21
REGION_RATING_CLIENT_W_CITY,21
APARTMENTS_AVG,20
YEARS_BEGINEXPLUATATION_MODE,19
APARTMENTS_MODE,19
NAME_EDUCATION_TYPE_Secondary___secondary_special,18
BASEMENTAREA_MODE,17
REG_CITY_NOT_LIVE_CITY,17
FLAG_WORK_PHONE,17
FLOORSMAX_AVG,16
ORGANIZATION_TYPE_Self_employed,15
DEF_60_CNT_SOCIAL_CIRCLE,14
OBS_60_CNT_SOCIAL_CIRCLE,14
CODE_GENDER_M,13
YEARS_BEGINEXPLUATATION_AVG,13
YEARS_BEGINEXPLUATATION_MEDI,13
OBS_30_CNT_SOCIAL_CIRCLE,12
LIVINGAPARTMENTS_AVG,12
LANDAREA_AVG,11
NONLIVINGAREA_MEDI,11
LIVINGAREA_MODE,10
COMMONAREA_MODE,10
COMMONAREA_AVG,10
APARTMENTS_MEDI,10
LANDAREA_MEDI,10
ORGANIZATION_TYPE_Transport__type_3,10
YEARS_BUILD_MODE,9
LANDAREA_MODE,9
NONLIVINGAREA_MODE,9
FLOORSMIN_MODE,9
BASEMENTAREA_AVG,9
YEARS_BUILD_AVG,9
FLAG_DOCUMENT_16,9
FLAG_DOCUMENT_18,9
NONLIVINGAREA_AVG,8
ENTRANCES_MODE,8
NONLIVINGAPARTMENTS_MODE,8
ORGANIZATION_TYPE_Military,8
OCCUPATION_TYPE_Core_staff,8
