age,genre,revenu_mensuel,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,note_evaluation_precedente,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,statut_marital_Divorcé(e),statut_marital_Marié(e),departement_Consulting,poste_Cadre Commercial,poste_Consultant,poste_Directeur Technique,poste_Manager,poste_Représentant Commercial,poste_Ressources Humaines,poste_Senior Manager,poste_Tech Lead,domaine_etude_Entrepreunariat,domaine_etude_Infra & Cloud,domaine_etude_Marketing,domaine_etude_Ressources Humaines,domaine_etude_Transformation Digitale,frequence_deplacement_encoded,rapport_revenu_experience,sous_paye,satisfaction_generale,demotivation_importante,stagnation_poste
41,1,-0.108,8,8,6,0.667,0.667,1,0.11,1,0,0,1,2,0,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.012,0,0.33325,0,4.0
49,0,-0.292,1,10,10,0.333,1.0,0,0.23,0,1,3,8,1,1,7,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,-0.027,0,0.66675,0,3.5
37,0,-0.938,6,7,0,0.333,0.667,1,0.15,1,0,3,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-0.117,1,0.66675,0,0.0
33,1,-0.764,1,8,8,0.667,0.667,1,0.11,0,0,3,3,4,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,-0.085,1,0.7502500000000001,0,1.75
27,0,-0.645,9,6,2,0.667,0.667,0,0.12,0,1,3,2,1,2,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,-0.092,1,0.5,0,0.667
32,0,-0.73,0,8,7,0.667,0.667,0,0.13,0,0,2,2,2,3,6,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,-0.081,1,0.75,0,1.75
59,1,-0.814,4,12,1,1.0,1.0,1,0.2,0,3,3,3,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,-0.063,1,0.25,0,0.0
30,0,-0.81,1,1,1,0.667,1.0,0,0.22,0,1,2,24,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,-0.405,1,0.66675,0,0.0
38,0,0.642,0,10,9,0.333,1.0,0,0.21,0,0,2,23,3,1,8,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0.058,0,0.66675,0,3.5
36,0,-0.269,6,17,7,0.667,0.667,0,0.13,0,2,3,27,3,7,7,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,-0.015,0,0.5,0,0.875
35,0,-0.866,0,6,5,1.0,0.667,0,0.13,0,1,5,16,3,0,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,-0.124,1,0.41675,1,4.0
29,1,-0.491,0,10,9,0.333,0.667,1,0.12,0,0,3,15,2,0,8,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,-0.045,0,0.8334999999999999,0,5.0
31,0,-0.763,1,5,5,0.667,0.667,0,0.17,0,1,1,26,1,4,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.127,1,0.5,0,0.4
34,0,-0.816,0,3,2,0.667,0.667,0,0.11,0,1,2,19,2,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,-0.204,1,0.66675,0,1.0
28,0,-0.951,5,6,4,0.333,0.667,1,0.14,1,0,4,24,3,0,3,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,-0.136,1,0.5835,0,2.0
29,1,0.739,1,10,10,1.0,0.667,0,0.11,0,1,1,21,4,8,8,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0.067,0,0.41675,1,1.0
32,0,-0.681,0,7,6,1.0,0.667,1,0.12,0,2,5,5,2,0,5,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.085,1,0.4165,1,2.0
22,0,-0.758,1,1,1,1.0,0.667,1,0.13,0,2,2,16,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.379,1,0.6665000000000001,0,0.0
53,1,1.896,2,31,25,0.333,0.667,0,0.16,0,0,3,2,4,3,7,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0.059,0,0.5835,0,2.0
38,0,-0.544,5,6,3,0.667,0.667,1,0.11,0,0,3,2,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.078,1,0.8334999999999999,0,1.0
24,1,-0.529,0,5,4,1.0,0.667,0,0.18,0,1,5,11,2,1,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.088,1,0.5,0,1.0
36,0,-0.658,7,10,5,0.333,1.0,0,0.23,1,0,4,9,4,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,-0.06,1,0.41675,0,3.0
34,1,1.167,0,13,12,0.667,0.667,0,0.11,0,0,4,7,4,2,11,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0.083,0,0.41675,0,2.0
