age,genre,revenu_mensuel,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,note_evaluation_precedente,niveau_hierarchique_poste,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,statut_marital_Divorcé(e),statut_marital_Marié(e),departement_Consulting,departement_Ressources Humaines,poste_Cadre Commercial,poste_Consultant,poste_Directeur Technique,poste_Manager,poste_Représentant Commercial,poste_Ressources Humaines,poste_Senior Manager,poste_Tech Lead,domaine_etude_Entrepreunariat,domaine_etude_Infra & Cloud,domaine_etude_Marketing,domaine_etude_Ressources Humaines,domaine_etude_Transformation Digitale,rapport_revenu_experience,sous_paye,satisfaction_generale,demotivation_importante,stagnation_poste
41,1,-0.102,8,8,6,4,0.667,2,0.667,1,0.11,1,0,0,1,2,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-0.011,0,0.33325,0,4.0
49,0,-0.293,1,10,10,7,0.333,2,1.0,0,0.23,0,1,3,8,1,2,1,7,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.027,0,0.66675,0,3.5
37,0,-0.964,6,7,0,0,0.333,1,0.667,1,0.15,1,0,3,2,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.12,1,0.66675,0,0.0
33,1,-0.784,1,8,8,7,0.667,1,0.667,1,0.11,0,0,3,3,4,2,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.087,1,0.7502500000000001,0,1.75
27,0,-0.661,9,6,2,2,0.667,1,0.667,0,0.12,0,1,3,2,1,1,2,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-0.094,1,0.5,0,0.667
32,0,-0.749,0,8,7,7,0.667,1,0.667,0,0.13,0,0,2,2,2,2,3,6,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-0.083,1,0.75,0,1.75
59,1,-0.837,4,12,1,0,1.0,1,1.0,1,0.2,0,3,3,3,3,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-0.064,1,0.25,0,0.0
30,0,-0.832,1,1,1,0,0.667,1,1.0,0,0.22,0,1,2,24,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-0.416,1,0.66675,0,0.0
38,0,0.679,0,10,9,7,0.333,3,1.0,0,0.21,0,0,2,23,3,2,1,8,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.062,0,0.66675,0,3.5
36,0,-0.269,6,17,7,7,0.667,2,0.667,0,0.13,0,2,3,27,3,1,7,7,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.015,0,0.5,0,0.875
35,0,-0.891,0,6,5,4,1.0,1,0.667,0,0.13,0,1,5,16,3,1,0,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-0.127,1,0.41675,1,4.0
29,1,-0.5,0,10,9,5,0.333,2,0.667,1,0.12,0,0,3,15,2,1,0,8,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-0.045,0,0.8334999999999999,0,5.0
31,0,-0.784,1,5,5,2,0.667,1,0.667,0,0.17,0,1,1,26,1,1,4,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.131,1,0.5,0,0.4
34,0,-0.839,0,3,2,2,0.667,1,0.667,0,0.11,0,1,2,19,2,1,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-0.21,1,0.66675,0,1.0
28,0,-0.964,5,6,4,2,0.333,1,0.667,1,0.14,1,0,4,24,3,1,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-0.138,1,0.5835,0,2.0
29,1,0.78,1,10,10,9,1.0,3,0.667,0,0.11,0,1,1,21,4,1,8,8,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.071,0,0.41675,1,1.0
32,0,-0.698,0,7,6,2,1.0,1,0.667,1,0.12,0,2,5,5,2,1,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.087,1,0.4165,1,2.0
22,0,-0.779,1,1,1,0,1.0,1,0.667,1,0.13,0,2,2,16,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-0.39,1,0.6665000000000001,0,0.0
