age,genre,revenu_mensuel,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,satisfaction_employee_environnement,note_evaluation_precedente,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,statut_marital_Divorcé(e),statut_marital_Marié(e),departement_Consulting,departement_Ressources Humaines,poste_Cadre Commercial,poste_Consultant,poste_Directeur Technique,poste_Manager,poste_Représentant Commercial,poste_Ressources Humaines,poste_Senior Manager,poste_Tech Lead,domaine_etude_Entrepreunariat,domaine_etude_Infra & Cloud,domaine_etude_Marketing,domaine_etude_Ressources Humaines,domaine_etude_Transformation Digitale,frequence_deplacement_encoded
41,1,-0.10834951351067117,8,8,6,4,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,0.6666666666666666,1,0.11,1,0,0,1,2,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
49,0,-0.29171858995657424,1,10,10,7,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,1.0,0,0.23,0,1,3,8,1,1,7,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
37,0,-0.9376536912260358,6,7,0,0,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,1,0.15,1,0,3,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
33,1,-0.7636336754564013,1,8,8,7,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,0.11,0,0,3,3,4,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
27,0,-0.6448581091374443,9,6,2,2,0.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,0,0.12,0,1,3,2,1,2,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
32,0,-0.7298495698307945,0,8,7,7,1.0,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0,0.13,0,0,2,2,2,3,6,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2
59,1,-0.814416073220678,4,12,1,0,0.6666666666666666,1.0,0.0,0.0,0.3333333333333333,1.0,1,0.2,0,3,3,3,3,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
30,0,-0.8095290642308104,1,1,1,0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,0,0.22,0,1,2,24,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
38,0,0.6423375630633446,0,10,9,7,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,0,0.21,0,0,2,23,3,1,8,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2
36,0,-0.2689833742211031,6,17,7,7,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0,0.13,0,2,3,27,3,7,7,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
35,0,-0.8662608642436216,0,6,5,4,0.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0.13,0,1,5,16,3,0,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
29,1,-0.4908110866307471,0,10,9,5,1.0,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1,0.12,0,0,3,15,2,0,8,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
31,0,-0.7632087181529345,1,5,5,2,0.0,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0,0.17,0,1,1,26,1,4,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
34,0,-0.8163283810862784,0,3,2,2,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0.11,0,1,2,19,2,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
28,0,-0.9508273676335051,5,6,4,2,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,1,0.14,1,0,4,24,3,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
29,1,0.738802870950297,1,10,10,9,0.3333333333333333,1.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0.11,0,1,1,21,4,8,8,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
32,0,-0.6809794799321182,0,7,6,2,0.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.6666666666666666,1,0.12,0,2,5,5,2,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
