feature,importance
EXT_SOURCE_1,234
EXT_SOURCE_3,208
EXT_SOURCE_2,190
AMT_CREDIT,170
AMT_ANNUITY,159
DAYS_BIRTH,156
AMT_GOODS_PRICE,144
DAYS_EMPLOYED,138
DAYS_ID_PUBLISH,112
DAYS_LAST_PHONE_CHANGE,83
AMT_INCOME_TOTAL,73
DAYS_REGISTRATION,59
SK_ID_CURR,54
NAME_CONTRACT_TYPE,39
REGION_POPULATION_RELATIVE,38
CODE_GENDER_F,33
HOUR_APPR_PROCESS_START,32
OWN_CAR_AGE,32
FLAG_OWN_CAR,31
AMT_REQ_CREDIT_BUREAU_YEAR,31
TOTALAREA_MODE,29
NAME_EDUCATION_TYPE_Higher_education,28
AMT_REQ_CREDIT_BUREAU_QRT,28
NAME_FAMILY_STATUS_Married,23
REGION_RATING_CLIENT_W_CITY,23
FLAG_DOCUMENT_3,23
YEARS_BEGINEXPLUATATION_AVG,19
DEF_60_CNT_SOCIAL_CIRCLE,19
DEF_30_CNT_SOCIAL_CIRCLE,18
APARTMENTS_MODE,18
BASEMENTAREA_AVG,16
REG_CITY_NOT_LIVE_CITY,16
NONLIVINGAREA_MEDI,16
NONLIVINGAREA_MODE,16
FLAG_WORK_PHONE,14
BASEMENTAREA_MEDI,14
YEARS_BEGINEXPLUATATION_MODE,14
NONLIVINGAREA_AVG,14
LANDAREA_AVG,13
FLOORSMAX_AVG,12
ORGANIZATION_TYPE_Industry__type_9,12
NAME_EDUCATION_TYPE_Secondary___secondary_special,12
FLAG_DOCUMENT_16,12
OCCUPATION_TYPE_Core_staff,12
COMMONAREA_MODE,12
OBS_30_CNT_SOCIAL_CIRCLE,12
YEARS_BUILD_MODE,12
FLAG_DOCUMENT_18,11
LANDAREA_MODE,11
LIVINGAREA_MEDI,11
CODE_GENDER_M,11
LIVINGAREA_AVG,11
AMT_REQ_CREDIT_BUREAU_MON,10
ORGANIZATION_TYPE_Self_employed,9
ORGANIZATION_TYPE_Transport__type_3,9
LIVINGAPARTMENTS_AVG,9
LANDAREA_MEDI,9
NAME_INCOME_TYPE_Working,9
OBS_60_CNT_SOCIAL_CIRCLE,9
FLOORSMIN_AVG,9
YEARS_BUILD_MEDI,8
APARTMENTS_AVG,8
COMMONAREA_AVG,8
ORGANIZATION_TYPE_Military,8
YEARS_BEGINEXPLUATATION_MEDI,8
NAME_INCOME_TYPE_State_servant,7
FLOORSMAX_MEDI,7
LIVINGAPARTMENTS_MODE,7
YEARS_BUILD_AVG,7
ORGANIZATION_TYPE_Construction,7
BASEMENTAREA_MODE,7
APARTMENTS_MEDI,6
LIVINGAREA_MODE,6
REGION_RATING_CLIENT,6
ORGANIZATION_TYPE_School,6
CNT_FAM_MEMBERS,6
NONLIVINGAPARTMENTS_MODE,6
COMMONAREA_MEDI,6
WEEKDAY_APPR_PROCESS_START_THURSDAY,6
OCCUPATION_TYPE_Laborers,6
OCCUPATION_TYPE_Accountants,6
NAME_FAMILY_STATUS_Single___not_married,6
CNT_CHILDREN,6
ORGANIZATION_TYPE_Government,5
ORGANIZATION_TYPE_Industry__type_12,5
FLAG_PHONE,5
REG_REGION_NOT_LIVE_REGION,5
ORGANIZATION_TYPE_Trade__type_2,5
WALLSMATERIAL_MODE_Panel,5
ELEVATORS_AVG,5
ENTRANCES_AVG,5
WEEKDAY_APPR_PROCESS_START_SUNDAY,5
WEEKDAY_APPR_PROCESS_START_SATURDAY,5
NAME_HOUSING_TYPE_Office_apartment,5
LIVINGAPARTMENTS_MEDI,5
NAME_HOUSING_TYPE_House___apartment,5
FLAG_DOCUMENT_13,5
AMT_REQ_CREDIT_BUREAU_WEEK,4
OCCUPATION_TYPE_High_skill_tech_staff,4
WEEKDAY_APPR_PROCESS_START_MONDAY,4
ORGANIZATION_TYPE_Realtor,4
ORGANIZATION_TYPE_Security_Ministries,4
ORGANIZATION_TYPE_Transport__type_4,4
FLOORSMIN_MODE,4
ORGANIZATION_TYPE_Bank,4
ELEVATORS_MODE,4
NAME_FAMILY_STATUS_Widow,4
FLAG_DOCUMENT_14,4
OCCUPATION_TYPE_Drivers,4
OCCUPATION_TYPE_Cleaning_staff,4
NAME_INCOME_TYPE_Commercial_associate,3
ENTRANCES_MODE,3
FLOORSMAX_MODE,3
FLOORSMIN_MEDI,3
OCCUPATION_TYPE_Low_skill_Laborers,3
ORGANIZATION_TYPE_Other,3
ORGANIZATION_TYPE_Restaurant,3
ORGANIZATION_TYPE_Police,3
REG_CITY_NOT_WORK_CITY,3
ORGANIZATION_TYPE_Postal,3
OCCUPATION_TYPE_Private_service_staff,3
NAME_HOUSING_TYPE_Municipal_apartment,3
ENTRANCES_MEDI,3
WEEKDAY_APPR_PROCESS_START_TUESDAY,3
NONLIVINGAPARTMENTS_AVG,3
ORGANIZATION_TYPE_Business_Entity_Type_2,2
OCCUPATION_TYPE_Security_staff,2
