Identifiant;Slug;URL canonique;Titre;Description;Description longue;Détail des conditions;Mots clés;Image;Crédits image;Aperçu;Image source;Dernière mise à jour;Résumé horaires;Première date - Début;Première date - Fin;Dernière date - Début;Dernière date - Fin;Horaires détaillés;Code d'accessibilité;Accessibilité;Identifiant du lieu;Coordonnées géographiques;Nom du lieu;Adresse;Arrondissement;Code INSEE;Code postal;Ville;Département;Région;Pays;Image du lieu;Crédits de l'image du lieu;Téléphone du lieu;Site web du lieu;Liens du lieu;Tags du lieu;Description du lieu;Accès / Itinéraire;Événement physique ou en ligne;Lien d'accès en ligne;État de l'événement;Age minimum;Age maximum;Agenda d'origine (titre);Agenda d'origine (uid);Contributeur: Email;Contributeur: Téléphone;Contributeur: Nom;Contributeur: Fonction;Contributeur: organisation;Catégorie;Nom du pays;Registration;Liens additionnels
92770643;job-dating-hotellerie-restauration-commerce-forum-emploi-draguignan-6335636;https://openagenda.com/semaine-des-metiers-du-tourisme/events/job-dating-hotellerie-restauration-commerce-forum-emploi-draguignan-6335636;Job Dating - Hôtellerie Restauration Commerce [Forum emploi Draguignan];Rencontrez votre futur employeur du secteur de l'Hôtellerie, Restauration ou du Commerce. Les employeurs de la Dracénie et alentours seront là pour vous rencontrer et vous faire passer des entreti...;"<p>Rencontrez votre futur employeur du secteur de l'Hôtellerie, Restauration ou du Commerce. Les employeurs de la Dracénie et alentours seront là pour vous rencontrer et vous faire passer des entretiens d'embauche, n'oubliez pas votre CV !!De nombreux postes à pourvoir en CDI, CDD ou contrats saisonniers. Il s'agit de la nouvelle formule de votre forum emploi Dracénois annuel qui se réinvente et se décompose maintenant en plusieurs thématiques sectorielles qui vous seront proposées tout au long de l'année afin de correspondre au mieux à vos besoins !</p>
<p>Rendez-vous sur place sans inscription avec vos CV pour rencontrer les employeurs. Notez le rendez-vous dans votre agenda :Le Lundi 10 mars de 9h à 13hAu complexe Saint-Exupéry à DraguignanVous souhaitez découvrir ces secteurs d'activité et/ou vous préparer en amont ? Découvrez les ateliers dédiés dans la rubrique ""Optimisez vos chances pour ce recrutement"" ci-contre</p>";;Forum,#TousMobilisés,La semaine du Tourisme,Commerce,Vente et Grande distribution,Hôtellerie-Restauration,Tourisme,Loisirs et Animation,Recrutement,Tout public,Débutant(e) accepté(e),CDI,Opportunité d'emploi,Rencontre recruteur,CDD,Contrat saisonnier,en physique;;;;;2025-03-09T02:25:29+01:00;Lundi 10 mars, 09h00;2025-03-10T09:00:00+01:00;2025-03-10T13:00:00+01:00;2025-03-10T09:00:00+01:00;2025-03-10T13:00:00+01:00;"[{""begin"": ""2025-03-10T09:00:00+01:00"", ""end"": ""2025-03-10T13:00:00+01:00""}]";;;63815736;43.535583, 6.470651;Draguignan;83300 Draguignan;;;83300;Draguignan;Var;Provence-Alpes-Côte d'Azur;FR;;;;;;;;;"{""id"": 1, ""label"": {""fr"": ""Sur place"", ""en"": ""In situ"", ""it"": ""In presenza"", ""es"": ""Desconnectad"", ""de"": ""Offline"", ""br"": ""War al lec\u2019h"", ""io"": ""crwdns14266:0crwdne14266:0"", ""oc"": ""Sus pla\u00e7a""}}";;"{""id"": 1, ""label"": {""fr"": ""Programm\u00e9"", ""en"": ""Scheduled"", ""io"": ""crwdns16100:0crwdne16100:0"", ""es"": ""Programado"", ""oc"": ""Programat""}}";;;Mes événements France Travail;38495884;;;;;;;France (Métropole);"[{""type"": ""link"", ""value"": ""https://mesevenementsemploi.francetravail.fr/mes-evenements-emploi/evenement/365500""}]";
35418241;forum-saint-cyr-sur-mer;https://openagenda.com/semaine-des-metiers-du-tourisme/events/forum-saint-cyr-sur-mer;FORUM SAINT CYR SUR MER;Organisé par la commune de Saint Cyr sur mer  avec l'agence France Travail Six Fours, la Mission Locale et Cap Emploi, Participez à cette après midi  pour rencontrer des entreprises et leurs recru...;"<p>Organisé par la commune de Saint Cyr sur mer  avec l'agence France Travail Six Fours, la Mission Locale et Cap Emploi, Participez à cette après midi  pour rencontrer des entreprises et leurs recruteurs  rechercher un emploi ou un job à d'été  grâce à ces événements. Profitez de ces occasions pour vous renseigner sur les entreprises qui vous intéressent.</p>
<p>Pensez à apporter vos CV et une lettre de motivation (en plusieurs exemplaires)</p>";;Forum,La semaine du Tourisme,1 jeune  1 solution,Recrutement,Tout public,Contrat saisonnier,Rencontre recruteur,Opportunité d'emploi,CDD,CDI,en physique;;;;;2025-03-10T21:53:24+01:00;Mercredi 26 mars, 14h30;2025-03-26T14:30:00+01:00;2025-03-26T18:00:00+01:00;2025-03-26T14:30:00+01:00;2025-03-26T18:00:00+01:00;"[{""begin"": ""2025-03-26T14:30:00+01:00"", ""end"": ""2025-03-26T18:00:00+01:00""}]";;;3528397;43.182941, 5.709997;Saint-Cyr-sur-Mer;83270 Saint-Cyr-sur-Mer;;83112;83270;Saint-Cyr-sur-Mer;Var;Provence-Alpes-Côte d'Azur;FR;;;;;;;;;"{""id"": 1, ""label"": {""fr"": ""Sur place"", ""en"": ""In situ"", ""it"": ""In presenza"", ""es"": ""Desconnectad"", ""de"": ""Offline"", ""br"": ""War al lec\u2019h"", ""io"": ""crwdns14266:0crwdne14266:0"", ""oc"": ""Sus pla\u00e7a""}}";;"{""id"": 1, ""label"": {""fr"": ""Programm\u00e9"", ""en"": ""Scheduled"", ""io"": ""crwdns16100:0crwdne16100:0"", ""es"": ""Programado"", ""oc"": ""Programat""}}";;;Mes événements France Travail;38495884;;;;;;;France (Métropole);"[{""type"": ""link"", ""value"": ""https://mesevenementsemploi.francetravail.fr/mes-evenements-emploi/evenement/387757""}]";
41667094;rejoignez-laventure-crepe-touch-devenez-acteur-de-notre-succes;https://openagenda.com/semaine-des-metiers-du-tourisme/events/rejoignez-laventure-crepe-touch-devenez-acteur-de-notre-succes;Rejoignez l'aventure Crêpe Touch : Devenez acteur de notre succès !;Participez à notre réunion d'information collective dédiée au recrutement pour notre nouvelle franchise Crêpe Touch en centre-ville de Toulon. Cet événement est une occasion unique pour les cherch...;<p>Participez à notre réunion d'information collective dédiée au recrutement pour notre nouvelle franchise Crêpe Touch en centre-ville de Toulon. Cet événement est une occasion unique pour les chercheurs d'emploi passionnés par la restauration de découvrir les postes à pourvoir : crêpiers, aides de cuisine, serveurs, plongeurs et responsables de cuisine. En plus de rencontrer le recruteur, vous apprendrez qu'une formation de type POE sera proposée en amont de l'embauche, vous permettant d'acquérir les compétences nécessaires pour réussir dans votre futur poste. Rejoindre Crêpe Touch, c'est intégrer une équipe dynamique et conviviale, où chaque membre joue un rôle clé dans notre succès. Ne manquez pas cette chance de faire un pas vers votre nouvelle carrière !</p>;;Réunion d'information,La semaine du Tourisme,Recrutement,Tout public,CDI,Formation assurée,en physique;;;;;2025-02-26T07:14:53+01:00;Mardi 25 février, 09h00;2025-02-25T09:00:00+01:00;2025-02-25T10:30:00+01:00;2025-02-25T09:00:00+01:00;2025-02-25T10:30:00+01:00;"[{""begin"": ""2025-02-25T09:00:00+01:00"", ""end"": ""2025-02-25T10:30:00+01:00""}]";;;99794784;43.119038, 5.943107;Toulon;83000 Toulon;La Rode;;83041;Toulon;Var;Provence-Alpes-Côte d'Azur;FR;;;;;;;;;"{""id"": 1, ""label"": {""fr"": ""Sur place"", ""en"": ""In situ"", ""it"": ""In presenza"", ""es"": ""Desconnectad"", ""de"": ""Offline"", ""br"": ""War al lec\u2019h"", ""io"": ""crwdns14266:0crwdne14266:0"", ""oc"": ""Sus pla\u00e7a""}}";;"{""id"": 1, ""label"": {""fr"": ""Programm\u00e9"", ""en"": ""Scheduled"", ""io"": ""crwdns16100:0crwdne16100:0"", ""es"": ""Programado"", ""oc"": ""Programat""}}";;;Mes événements France Travail;38495884;;;;;;;France (Métropole);"[{""type"": ""link"", ""value"": ""https://mesevenementsemploi.francetravail.fr/mes-evenements-emploi/evenement/387861""}]";
30820254;detection-de-potentiel-etes-vous-faits-pour-les-metiers-du-hrt;https://openagenda.com/semaine-des-metiers-du-tourisme/events/detection-de-potentiel-etes-vous-faits-pour-les-metiers-du-hrt;DETECTION DE POTENTIEL ETES VOUS FAITS POUR LES METIERS DU HRT ?;Vous souhaitez changer de voie ? Vous êtes attiré/e par le secteur du HRT et vous vous demandez s'il peut vous correspondre ? Vous ne savez pas vers quel secteur vous orienter ?Participez à une se...;"<p>Vous souhaitez changer de voie ? Vous êtes attiré/e par le secteur du HRT et vous vous demandez s'il peut vous correspondre ? Vous ne savez pas vers quel secteur vous orienter ?Participez à une session de détection de potentiel pour envisager votre avenir professionnel : - Rencontrez un professionnel du secteur : Le GRETA Formation Hôtellerie, restauration et tourisme- Découvrez les métiers et les opportunités d'emploi- Testez vos aptitudes avec des exercices de mise en situation- Bénéficiez de solutions concrètes immédiates : immersion professionnelle, formation, recrutement...Un dispositif financé par la Région Sud.</p>
<p>Le parcours repose sur un enchaînement d' étapes formant une séquence d'une demi-journée qui comprend :- La découverte d'un secteur d'activité (utilisation possible de casque à réalité virtuelle) via des témoignages de professionnels, pour prendre conscience des réalités du secteur et des métiers qui recrutent- L'atelier de détection de potentiel (des exercices pratiques pour détecter votre potentiel sur le secteur) - Un debrief à chaud à l'issue de la session et une proposition de parcours adapté si le secteur vous intéresse</p>";;Réunion d'information,La semaine du Tourisme,Détection de potentiel,Découverte secteur / métier,Découverte formation,Tout public,Formation financée,Opportunité d'emploi,en physique;;;;;2025-02-26T07:13:47+01:00;Mardi 25 février, 08h45;2025-02-25T08:45:00+01:00;2025-02-25T12:30:00+01:00;2025-02-25T08:45:00+01:00;2025-02-25T12:30:00+01:00;"[{""begin"": ""2025-02-25T08:45:00+01:00"", ""end"": ""2025-02-25T12:30:00+01:00""}]";;;4587127;43.107964, 6.130298;Hyères;83400 Hyères;;;83400;Hyères;Var;Provence-Alpes-Côte d'Azur;FR;;;;;;;;;"{""id"": 1, ""label"": {""fr"": ""Sur place"", ""en"": ""In situ"", ""it"": ""In presenza"", ""es"": ""Desconnectad"", ""de"": ""Offline"", ""br"": ""War al lec\u2019h"", ""io"": ""crwdns14266:0crwdne14266:0"", ""oc"": ""Sus pla\u00e7a""}}";;"{""id"": 1, ""label"": {""fr"": ""Programm\u00e9"", ""en"": ""Scheduled"", ""io"": ""crwdns16100:0crwdne16100:0"", ""es"": ""Programado"", ""oc"": ""Programat""}}";;;Mes événements France Travail;38495884;;;;;;;France (Métropole);"[{""type"": ""link"", ""value"": ""https://mesevenementsemploi.francetravail.fr/mes-evenements-emploi/evenement/385742""}]";
20662948;village-du-tourisme;https://openagenda.com/semaine-des-metiers-du-tourisme/events/village-du-tourisme;VILLAGE DU TOURISME;"Découvrez le ""Village du tourisme"", un événement unique dédié à l'information sur le recrutement et la formation dans le secteur du tourisme. Ouvert à tous, cet événement vous offre une opportunit...";"<p>Découvrez le ""Village du tourisme"", un événement unique dédié à l'information sur le recrutement et la formation dans le secteur du tourisme. Ouvert à tous, cet événement vous offre une opportunité exceptionnelle de rencontrer des professionnels du tourisme et de participer à des expériences immersives en réalité virtuelle. Que vous soyez à la recherche d'un emploi, d'une reconversion professionnelle ou simplement curieux d'en savoir plus sur les métiers du tourisme, cet événement est fait pour vous. Profitez de cette semaine du tourisme pour échanger avec des experts, participer à des ateliers interactifs et explorer les nombreuses opportunités de carrière que le secteur a à offrir. Ne manquez pas cette chance de booster votre carrière dans le tourisme !</p>
<p>Présentation de tous les stands et de l'après midiVenez découvrir les divers stands: - Expériences en Réalité Virtuelle: avec la Mission locale pour découvrir les métiers du tourisme- Espace Formation:                   BIJ de la Londe et information sur la formation du  BAFA                   Le GRETA du var informations sur les formations financées dans l'Hôtellerie restauration tourisme                  L'IMSAT information sur les formations et contrats en alternance- Espace Recrutement avec la présence de l'organisme Entreprise Ephémère. Découvrez de nombreux emplois sur le bassin - ouverts aux débutants</p>";;Réunion d'information,La semaine du Tourisme,Découverte formation,Recrutement,Découverte secteur / métier,S'informer,Tout public,Temps partiel,Formation financée,Temps complet,Se diplômer,Opportunité d'emploi,CDD,Contrat saisonnier,en physique;;;;;2025-03-10T20:16:45+01:00;Lundi 17 mars, 14h00;2025-03-17T14:00:00+01:00;2025-03-17T16:00:00+01:00;2025-03-17T14:00:00+01:00;2025-03-17T16:00:00+01:00;"[{""begin"": ""2025-03-17T14:00:00+01:00"", ""end"": ""2025-03-17T16:00:00+01:00""}]";;;4587127;43.107964, 6.130298;Hyères;83400 Hyères;;;83400;Hyères;Var;Provence-Alpes-Côte d'Azur;FR;;;;;;;;;"{""id"": 1, ""label"": {""fr"": ""Sur place"", ""en"": ""In situ"", ""it"": ""In presenza"", ""es"": ""Desconnectad"", ""de"": ""Offline"", ""br"": ""War al lec\u2019h"", ""io"": ""crwdns14266:0crwdne14266:0"", ""oc"": ""Sus pla\u00e7a""}}";;"{""id"": 1, ""label"": {""fr"": ""Programm\u00e9"", ""en"": ""Scheduled"", ""io"": ""crwdns16100:0crwdne16100:0"", ""es"": ""Programado"", ""oc"": ""Programat""}}";;;Mes événements France Travail;38495884;;;;;;;France (Métropole);"[{""type"": ""link"", ""value"": ""https://mesevenementsemploi.francetravail.fr/mes-evenements-emploi/evenement/401461""}]";
2976471;le-vtf-le-castelet-recrute-venez-a-la-rencontre-de-lemployeur-le-0104;https://openagenda.com/semaine-des-metiers-du-tourisme/events/le-vtf-le-castelet-recrute-venez-a-la-rencontre-de-lemployeur-le-0104;*****LE VTF LE CASTELET RECRUTE - Venez à la rencontre de l'employeur le 01/04****;Venez à la rencontre de MR DRAIDI et de son équipe le 1 Avril de 8H30 à 12h,Différents postes et contrats proposés d'avril à novembre ou seulement pour les 2 mois d'été Juillet/Aout Postes : Servi...;"<p>Venez à la rencontre de MR DRAIDI et de son équipe le 1 Avril de 8H30 à 12h,Différents postes et contrats proposés d'avril à novembre ou seulement pour les 2 mois d'été Juillet/Aout Postes : Service en salle - Entretien des mobiles home et des bastides - Maintenance des locaux</p>
<p>Sur le FLUX - SANS RDV de 8H30 à 12HCV à jour</p>";;Job dating,La semaine du Tourisme,1 jeune  1 solution,#TousMobilisés,Recrutement,Tout public,Opportunité d'emploi,CDD,Contrat saisonnier,Temps complet,Rencontre recruteur,en physique;;;;;2025-03-10T22:22:04+01:00;Mardi 1 avril, 09h30;2025-04-01T09:30:00+02:00;2025-04-01T13:00:00+02:00;2025-04-01T09:30:00+02:00;2025-04-01T13:00:00+02:00;"[{""begin"": ""2025-04-01T09:30:00+02:00"", ""end"": ""2025-04-01T13:00:00+02:00""}]";;;37082713;43.41954, 6.745485;Fréjus;83600 Fréjus;;;83700;Fréjus;Var;Provence-Alpes-Côte d'Azur;FR;;;;;;;;;"{""id"": 1, ""label"": {""fr"": ""Sur place"", ""en"": ""In situ"", ""it"": ""In presenza"", ""es"": ""Desconnectad"", ""de"": ""Offline"", ""br"": ""War al lec\u2019h"", ""io"": ""crwdns14266:0crwdne14266:0"", ""oc"": ""Sus pla\u00e7a""}}";;"{""id"": 1, ""label"": {""fr"": ""Programm\u00e9"", ""en"": ""Scheduled"", ""io"": ""crwdns16100:0crwdne16100:0"", ""es"": ""Programado"", ""oc"": ""Programat""}}";;;Mes événements France Travail;38495884;;;;;;;France (Métropole);"[{""type"": ""link"", ""value"": ""https://mesevenementsemploi.francetravail.fr/mes-evenements-emploi/evenement/402708""}]";
13104599;les-liens-intergenerationnels;https://openagenda.com/rencontres-entre-generations-2025/events/les-liens-intergenerationnels;Les liens intergénérationnels;discussions-animations autour de la cohabitation intergénérationnelle;"<p>Moment de convivialité permettant de discuter autour d'un thé, un café et amener des réponses à vos questions (jeux-témoignage).<br>Pour mieux connaitre la cohabitation intergénérationnelle en Provence Verte, louer une chambre à un jeune actif, créer des liens, se rendre service, accroitre son pouvoir d'achat grâce à la loi Elan et nos partenaires : La DEETS, la Caf; La Carsat, la Macif, La MSA, le réseau Cohabilis, La Fondation Apprentis d'Auteuil.<br>Soyez les bienvenus vous êtes un proche, à la retraite, curieux, locataire, propriétaire, un jeune actif...</p>";entrée libre;liens,services,relations,discussions,crêpes,thé,café,témoignages,rencontres;https://cdn.openagenda.com/main/d8506f12784e4c179ec6e72a4d3157c9.base.image.jpg;Campus Provence Verte-élèves;https://cdn.openagenda.com/main/d8506f12784e4c179ec6e72a4d3157c9.thumb.image.jpg;https://cdn.openagenda.com/main/d8506f12784e4c179ec6e72a4d3157c9.full.image.jpg;2025-02-13T21:16:12+01:00;Lundi 10 mars, 14h30;2025-03-10T14:30:00+01:00;2025-03-10T16:00:00+01:00;2025-03-10T14:30:00+01:00;2025-03-10T16:00:00+01:00;"[{""begin"": ""2025-03-10T14:30:00+01:00"", ""end"": ""2025-03-10T16:00:00+01:00""}]";mi;handicap moteur;82227656;43.454052, 5.858472;Saint Maximin La sainte baume 83470, salle des fêtes;Place de Lattre de Tassigny, 83470, Saint maximin la sainte baume;;83116;83470;Saint-Maximin-la-Sainte-Baume;Var;Provence-Alpes-Côte d'Azur;FR;;;;;;;;;"{""id"": 1, ""label"": {""fr"": ""Sur place"", ""en"": ""In situ"", ""it"": ""In presenza"", ""es"": ""Desconnectad"", ""de"": ""Offline"", ""br"": ""War al lec\u2019h"", ""io"": ""crwdns14266:0crwdne14266:0"", ""oc"": ""Sus pla\u00e7a""}}";;"{""id"": 1, ""label"": {""fr"": ""Programm\u00e9"", ""en"": ""Scheduled"", ""io"": ""crwdns16100:0crwdne16100:0"", ""es"": ""Programado"", ""oc"": ""Programat""}}";18;121;Rencontres entre Générations 2025;2390424;;;;;;;France (Métropole);"[{""type"": ""phone"", ""value"": ""06""}, {""type"": ""phone"", ""value"": ""08""}, {""type"": ""phone"", ""value"": ""12""}, {""type"": ""phone"", ""value"": ""99""}, {""type"": ""phone"", ""value"": ""09""}]";
84540192;la-fabrik-a-soft-skills-sublimez-vos-competences-et-integrez-le-secteur-du-luxe;https://openagenda.com/semaine-des-metiers-du-tourisme/events/la-fabrik-a-soft-skills-sublimez-vos-competences-et-integrez-le-secteur-du-luxe;LA FABRIK A SOFT SKILLS : Sublimez vos compétences et intégrez le secteur du luxe;"Face à un monde du travail qui évolue en permanence, miser sur son diplôme ou son  expérience n'est plus suffisant!Se former aux ""soft skills"" apparaît comme une solution phare afin de se démarque...";"<p>Face à un monde du travail qui évolue en permanence, miser sur son diplôme ou son  expérience n'est plus suffisant!Se former aux ""soft skills"" apparaît comme une solution phare afin de se démarquer des autres candidats et atteindre ses objectifs. Apprenez à utiliser vos compétences pour exceller dans l'univers du luxe et vous ouvrir les portes d'une carrière prestigieuse.Nous vous proposons une prestation innovante du 17/03 au 11/04 à Cogolin.</p>
<p>Venez découvrir la prestation et échanger avec le formateur lors de cette réunion du 03 mars 2025.</p>";;Réunion d'information,La semaine du Tourisme,#TousMobilisés,1 jeune  1 solution,Les clés pour réussir,Hôtellerie-Restauration,Tourisme,Loisirs et Animation,Recrutement,S'informer,Découverte formation,Tout public,Formation financée,Formation assurée,en physique;;;;;2025-03-04T18:14:37+01:00;Lundi 3 mars, 14h00;2025-03-03T14:00:00+01:00;2025-03-03T16:00:00+01:00;2025-03-03T14:00:00+01:00;2025-03-03T16:00:00+01:00;"[{""begin"": ""2025-03-03T14:00:00+01:00"", ""end"": ""2025-03-03T16:00:00+01:00""}]";;;77149133;43.255383, 6.532901;Cogolin;83310 Cogolin;;;83310;Cogolin;Var;Provence-Alpes-Côte d'Azur;FR;;;;;;;;;"{""id"": 1, ""label"": {""fr"": ""Sur place"", ""en"": ""In situ"", ""it"": ""In presenza"", ""es"": ""Desconnectad"", ""de"": ""Offline"", ""br"": ""War al lec\u2019h"", ""io"": ""crwdns14266:0crwdne14266:0"", ""oc"": ""Sus pla\u00e7a""}}";;"{""id"": 1, ""label"": {""fr"": ""Programm\u00e9"", ""en"": ""Scheduled"", ""io"": ""crwdns16100:0crwdne16100:0"", ""es"": ""Programado"", ""oc"": ""Programat""}}";;;Mes événements France Travail;38495884;;;;;;;France (Métropole);"[{""type"": ""link"", ""value"": ""https://mesevenementsemploi.francetravail.fr/mes-evenements-emploi/evenement/395854""}]";
88610901;forum-de-lemploi-saisonnier-et-des-jobs-etudiants-saint-raphael-3769346;https://openagenda.com/semaine-des-metiers-du-tourisme/events/forum-de-lemploi-saisonnier-et-des-jobs-etudiants-saint-raphael-3769346;Forum de l'Emploi Saisonnier et des Jobs Etudiants Saint-Raphaël;Vous cherchez un emploi cet été ? Rendez-vous au Forum de l’emploi saisonnier et des jobs étudiants le mercredi 12 mars 2025Estérel Côte d’Azur Agglomération, en partenariat avec France Travail, o...;"<p>Vous cherchez un emploi cet été ? Rendez-vous au Forum de l’emploi saisonnier et des jobs étudiants le mercredi 12 mars 2025Estérel Côte d’Azur Agglomération, en partenariat avec France Travail, organise la 17e édition du Forum de l’emploi saisonnier et des jobs étudiants  le mercredi 12 mars 2025 de 13h00 à 17h00 au Palais des Congrès de Saint-Raphaël.Plus de 1000 postes dans 80 entreprises du territoire</p>
<p>Ce forum, incontournable pour les personnes cherchant un emploi pour la saison estivale, réunit dans un lieu unique des entreprises du territoire qui proposent des postes saisonniers, dès les vacances de printemps et jusqu’au Roc d’Azur en octobre.Certains des contrats proposés peuvent déboucher sur un Contrat à Durée Indéterminé (CDI).Les secteurs d’activités concernés sont :Animation et TourismeHôtellerieHôtellerie de plein airRestaurationCommerce et Grande distributionServicesAgriculturePensez à venir avec vos CV !En savoir   <a href=""https://deveco.esterelcotedazur-agglo.fr/fes2025/"">https://deveco.esterelcotedazur-agglo.fr/fes2025/</a></p>";;Forum,La semaine du Tourisme,#TousMobilisés,1 jeune  1 solution,Commerce,Vente et Grande distribution,Hôtellerie-Restauration,Tourisme,Loisirs et Animation,Recrutement,Tout public,CDI,CDD,Rencontre recruteur,Opportunité d'emploi,Contrat saisonnier,en physique;;;;;2025-03-12T02:24:20+01:00;Mercredi 12 mars, 13h00;2025-03-12T13:00:00+01:00;2025-03-12T17:00:00+01:00;2025-03-12T13:00:00+01:00;2025-03-12T17:00:00+01:00;"[{""begin"": ""2025-03-12T13:00:00+01:00"", ""end"": ""2025-03-12T17:00:00+01:00""}]";;;48055715;43.413776, 6.780045;Saint-Raphaël;83700 Saint-Raphaël;;;83701;Saint-Raphaël;Var;Provence-Alpes-Côte d'Azur;FR;;;;;;;;;"{""id"": 1, ""label"": {""fr"": ""Sur place"", ""en"": ""In situ"", ""it"": ""In presenza"", ""es"": ""Desconnectad"", ""de"": ""Offline"", ""br"": ""War al lec\u2019h"", ""io"": ""crwdns14266:0crwdne14266:0"", ""oc"": ""Sus pla\u00e7a""}}";;"{""id"": 1, ""label"": {""fr"": ""Programm\u00e9"", ""en"": ""Scheduled"", ""io"": ""crwdns16100:0crwdne16100:0"", ""es"": ""Programado"", ""oc"": ""Programat""}}";;;Mes événements France Travail;38495884;;;;;;;France (Métropole);"[{""type"": ""link"", ""value"": ""https://mesevenementsemploi.francetravail.fr/mes-evenements-emploi/evenement/388616""}]";"[{""link"": ""https://deveco.esterelcotedazur-agglo.fr/fes2025/""}]"
19034014;rallye-job-dating-saisissez-votre-saison-sur-le-port-de-toulon;https://openagenda.com/semaine-des-metiers-du-tourisme/events/rallye-job-dating-saisissez-votre-saison-sur-le-port-de-toulon;Rallye Job Dating : Saisissez votre saison sur le port de Toulon!;Réunion d'information sur notre RALLYE HRT qui aura lieu le jeudi 20 Mars : Nous vous présenterons postes à pourvoir, conditions et déroulé de la journée:;"<p>Réunion d'information sur notre RALLYE HRT qui aura lieu le jeudi 20 Mars : Nous vous présenterons postes à pourvoir, conditions et déroulé de la journée:</p>
<p>Participez à notre événement de recrutement au format rallye job dating, spécialement conçu pour ceux qui souhaitent travailler cette saison sur le port. Que vous soyez à la recherche d'un emploi saisonnier ou d'une nouvelle aventure professionnelle, cet événement est fait pour vous ! Des restaurants locaux vous recevront le jour J pour recruter des Runners h/f et des serveurs h/f au plateau et postes de plagistes pour les plages du mourillon. Rencontrez directement les recruteurs, échangez sur les opportunités et découvrez les avantages de travailler dans un cadre dynamique et convivial. En participant, vous vous assurez une saison réussie et enrichissante. Ne manquez pas cette chance de faire le premier pas vers votre nouvel emploi !</p>";;Réunion d'information,La semaine du Tourisme,Se préparer,Recrutement,S'informer,Marché du travail,Tout public,Débutant(e) accepté(e),Temps partiel,Contrat saisonnier,Opportunité d'emploi,Temps complet,en physique;;;;;2025-03-09T07:43:43+01:00;Jeudi 6 mars, 09h00;2025-03-06T09:00:00+01:00;2025-03-06T12:00:00+01:00;2025-03-06T09:00:00+01:00;2025-03-06T12:00:00+01:00;"[{""begin"": ""2025-03-06T09:00:00+01:00"", ""end"": ""2025-03-06T12:00:00+01:00""}]";;;99794784;43.119038, 5.943107;Toulon;83000 Toulon;La Rode;;83041;Toulon;Var;Provence-Alpes-Côte d'Azur;FR;;;;;;;;;"{""id"": 1, ""label"": {""fr"": ""Sur place"", ""en"": ""In situ"", ""it"": ""In presenza"", ""es"": ""Desconnectad"", ""de"": ""Offline"", ""br"": ""War al lec\u2019h"", ""io"": ""crwdns14266:0crwdne14266:0"", ""oc"": ""Sus pla\u00e7a""}}";;"{""id"": 1, ""label"": {""fr"": ""Programm\u00e9"", ""en"": ""Scheduled"", ""io"": ""crwdns16100:0crwdne16100:0"", ""es"": ""Programado"", ""oc"": ""Programat""}}";;;Mes événements France Travail;38495884;;;;;;;France (Métropole);"[{""type"": ""link"", ""value"": ""https://mesevenementsemploi.francetravail.fr/mes-evenements-emploi/evenement/395884""}]";
